"MODZCTA","Positive","Total","zcta_cum.perc_pos","date"
11368,1337,1723,77.6,"20200404"
11369,504,674,74.78,"20200404"
11370,540,970,55.67,"20200404"
11372,747,1026,72.81,"20200404"
11373,903,1322,68.31,"20200404"
11374,460,749,61.42,"20200404"
11375,613,1138,53.87,"20200404"
11377,563,900,62.56,"20200404"
11378,219,383,57.18,"20200404"
11379,260,476,54.62,"20200404"
11385,639,1087,58.79,"20200404"
11411,246,339,72.57,"20200404"
11412,386,604,63.91,"20200404"
11413,420,667,62.97,"20200404"
11414,238,431,55.22,"20200404"
11415,198,328,60.37,"20200404"
11416,183,280,65.36,"20200404"
11417,241,402,59.95,"20200404"
11418,308,508,60.63,"20200404"
11419,290,495,58.59,"20200404"
11420,365,607,60.13,"20200404"
11421,305,486,62.76,"20200404"
11422,331,515,64.27,"20200404"
11423,262,404,64.85,"20200404"
11426,155,296,52.36,"20200404"
11427,258,439,58.77,"20200404"
11428,179,271,66.05,"20200404"
11434,584,877,66.59,"20200404"
11432,471,746,63.14,"20200404"
11433,239,370,64.59,"20200404"
11435,441,736,59.92,"20200404"
11436,148,222,66.67,"20200404"
11691,660,992,66.53,"20200404"
11692,169,267,63.3,"20200404"
11693,120,198,60.61,"20200404"
11694,201,367,54.77,"20200404"
11697,31,75,41.33,"20200404"
NA,4712,4716,99.92,"20200405"
10001,158,337,46.88,"20200405"
10002,360,718,50.14,"20200405"
10003,210,490,42.86,"20200405"
10004,20,45,44.44,"20200405"
10005,29,96,30.21,"20200405"
10006,7,30,23.33,"20200405"
10007,29,81,35.8,"20200405"
10009,262,597,43.89,"20200405"
10010,121,349,34.67,"20200405"
10011,278,596,46.64,"20200405"
10012,85,226,37.61,"20200405"
10013,124,282,43.97,"20200405"
10014,178,373,47.72,"20200405"
10016,324,727,44.57,"20200405"
10017,65,187,34.76,"20200405"
10018,106,232,45.69,"20200405"
10019,244,560,43.57,"20200405"
10021,282,726,38.84,"20200405"
10022,159,422,37.68,"20200405"
10023,251,642,39.1,"20200405"
10024,283,782,36.19,"20200405"
10025,377,984,38.31,"20200405"
10026,197,413,47.7,"20200405"
10027,267,565,47.26,"20200405"
10028,237,595,39.83,"20200405"
10029,461,943,48.89,"20200405"
